,waktu,user,text,STOP_REMOVAL,STEMMING,label
0,2021-11-25 10:22:37+00:00,triherlan, judul berita nya mantap tendang anwar abbas ulama kok tendang yah, judul berita nya mantap tendang anwar abbas ulama,judul berita nya mantap tendang anwar abbas ulama,false
1,2021-11-25 10:22:35+00:00,fahadkanan, ceo formula alberto longgo menampik bhw jakarta membayar lebih tinggi dari kota ternama lainnya dunia agar dapat men, ceo formula alberto longgo menampik bhw jakarta membayar kota ternama dunia men,ceo formula alberto longgo tampik bhw jakarta bayar kota nama dunia men,true
2,2021-11-25 10:22:35+00:00,jinkyukkk,iyahhh 2022 berita datings seokbeen xixixi,iyahhh 2022 berita datings seokbeen xixixi,2022 berita datings seokbeen,false
3,2021-11-25 10:22:30+00:00,budiatnogr, terkait isu pemilihan vanue formula akan ditentukan oleh presiden kami tegaskan semuanya merupakan tanggung jawab , terkait isu pemilihan vanue formula ditentukan presiden tegaskan tanggung,kait isu pilih vanue formula tentu presiden tegas tanggung,true
4,2021-11-25 10:22:29+00:00,beritartm,infografik bajet2022 dana khas bank negara untuk pmks untuk maklumat lanjut mengenai inisiatif sokongan pmks ,infografik bajet2022 dana khas bank negara pmks maklumat inisiatif sokongan pmks,infografik bajet2022 dana khas bank negara pmks maklumat inisiatif sokong pmks,true
5,2021-11-25 10:22:25+00:00,detikfinance, telah memerintahkan dpr dan pemerintah untuk memperbaiki undang undang cipta kerja memberikan waktu hingga , memerintahkan dpr pemerintah memperbaiki undang undang cipta kerja,perintah dpr perintah baik undang undang cipta kerja,true
6,2021-11-25 10:22:24+00:00,detikhealth,tidak perlu konsumsi obat ada cara alami untuk menurunkan gula darah mulai dari olahraga teratur hingga minum air,konsumsi obat alami menurunkan gula darah olahraga teratur minum air,konsumsi obat alami turun gula darah olahraga atur minum air,true
7,2021-11-25 10:22:24+00:00,mayafasqual, berdasarkan data yang ditampilkan tito realisasi belanja pemprov sumut masih rp9 triliun dari total anggaran rp13 triliun, berdasarkan data ditampilkan tito realisasi belanja pemprov sumut rp9 triliun total anggaran rp13 triliun,dasar data tampil tito realisasi belanja pemprov sumut rp9 triliun total anggar rp13 triliun,true
8,2021-11-25 10:22:22+00:00,87kaisar,demokrat dalam berita edisi november 2021 demokratharapanrakyat bareng ahy,demokrat berita edisi november 2021 demokratharapanrakyat bareng ahy,demokrat berita edisi november 2021 demokratharapanrakyat bareng ahy,true
9,2021-11-25 10:22:21+00:00,rchlthlt,please bener banget gue darah tinggi anj tiap baca berita doddy,please bener banget gue darah anj baca berita doddy,please bener banget gue darah anj baca berita doddy,false
10,2021-11-25 10:22:17+00:00,jooooooooeeeeee, status terkini covid november 2021 malam yang sahih berita rtm rtm rtm75 terusunggul beritartm covid, status terkini covid november 2021 malam sahih berita rtm rtm rtm75 terusunggul beritartm covid,status kini covid november 2021 malam sahih berita rtm rtm rtm75 terusunggul beritartm covid,true
11,2021-11-25 10:22:16+00:00,guavajuyce, berita kek gini juga ampas banget menurutku gala pun pasti mana mau jadi sultan cilik kalo harus kehilangan, berita kek gini ampas banget menurutku gala sultan cilik kalo kehilangan,berita kek gin ampas banget turut gala sultan cilik kalo hilang,false
